,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
0,2020-01-01,4676.8,3399.3,94460.2,3617.5,50.66,49.75,350.0,300.0
1,2020-01-02,4549.0,2828.7,85272.73,3056.6,50.766,49.928,356.0,300.0
2,2020-01-03,4406.8,2461.1,81366.23,2942.9,50.959,49.903,357.0,300.0
3,2020-01-04,4396.5,2679.1,81999.2,3026.7,50.82,49.81,355.0,300.0
4,2020-01-05,4697.7,2591.6,83782.87,3064.3,50.91,49.87,355.0,300.0
5,2020-01-06,4602.8,2782.5,89901.24,3515.8,50.8,49.67,355.0,300.0
6,2020-01-07,4590.4,3106.9,92144.23,3623.8,50.94,49.79,369.0,300.0
7,2020-01-08,4898.2,3345.8,94309.37,3838.0,50.78,49.61,353.0,300.0
8,2020-01-09,4709.7,3348.2,95149.94,3733.0,50.84,49.32,352.0,300.0
9,2020-01-10,4667.3,3305.1,94423.59,3541.0,50.96,49.66,381.0,300.0
10,2020-01-11,4531.4,3186.1,91299.49,3455.5,50.94,49.43,356.0,300.0
11,2020-01-12,4302.4,3086.1,88257.48,3556.9,50.81,49.45,357.0,300.0
12,2020-01-13,4657.9,3065.9,92437.1,3648.1,50.75,49.31,356.0,300.0
13,2020-01-14,4931.3,3354.7,98553.85,4000.2,50.67,49.66,353.0,300.0
14,2020-01-17,4345.6,2278.7,84021.44,2931.0,50.95,49.78,350.0,300.0
15,2020-01-18,4543.7,3286.1,91694.52,3744.6,50.95,49.98,354.0,300.0
16,2020-01-19,4444.1,3131.5,88314.72,3531.0,50.96,49.67,360.0,300.0
17,2020-01-20,4334.5,3147.9,90357.07,3654.1,50.97,49.74,357.0,300.0
18,2020-01-21,4477.4,3242.3,92871.43,4011.2,50.79,49.75,353.0,300.0
19,2020-01-22,4429.2,3557.0,93998.15,4075.9,50.96,49.7,355.0,300.0
20,2020-01-23,4655.6,3574.4,97432.43,4236.3,50.74,49.02,349.0,295.0
21,2020-01-27,4334.4,3274.0,93297.22,4028.5,50.69,49.57,352.0,290.0
22,2020-01-28,4476.8,3485.0,93708.86,4062.4,50.56,49.75,352.0,300.0
23,2020-01-29,4502.5,3462.3,96857.73,4222.8,50.61,49.89,352.0,380.0
24,2020-01-30,4412.2,2763.7,93767.4,3908.4,50.92,49.79,353.0,300.0
25,2020-01-31,4712.0,3400.9,97118.44,3939.8,50.64,49.75,355.0,299.0
26,2020-02-01,4643.8,3444.7,95199.75,3803.7,50.59,49.94,350.0,300.0
27,2020-02-02,4362.7,3297.2,92935.28,3745.9,50.83,49.93,350.0,300.0
28,2020-02-03,4616.4,3240.9,97012.98,4014.0,50.76,49.84,354.0,300.0
29,2020-02-04,4811.4,3601.0,99099.8,4204.1,50.79,49.77,351.0,300.0
30,2020-02-05,4643.7,3502.4,97734.35,4519.4,50.69,49.65,354.7,300.0
31,2020-02-08,4545.5,3340.5,91448.55,3649.7,50.58,49.85,351.0,300.0
32,2020-02-11,4817.2,3336.7,94272.79,3912.6,50.81,49.67,355.0,300.0
33,2020-02-12,4825.8,3302.4,95249.95,3891.1,50.7,49.96,350.0,300.0
34,2020-02-13,4830.3,3188.4,94389.77,3760.3,50.77,49.84,351.0,300.0
35,2020-02-14,4618.0,3221.4,97105.86,3999.7,50.67,49.71,352.0,300.0
36,2020-02-15,4762.8,3737.4,99377.13,4066.2,50.64,49.79,349.0,300.0
37,2020-02-16,4718.4,3302.7,96140.84,4021.6,50.67,49.64,353.0,300.0
38,2020-02-17,4728.6,3665.8,99186.9,4172.9,50.58,49.64,352.0,280.0
39,2020-02-18,4622.9,3736.0,100026.9,4455.5,50.55,49.62,347.0,300.0
40,2020-02-19,4502.5,3520.5,97661.72,4194.0,50.73,49.73,348.0,300.0
41,2020-02-20,4131.4,3281.2,91683.04,4131.4,50.68,49.67,350.0,299.0
42,2020-02-21,4293.8,3524.0,97679.22,3866.4,50.69,49.72,348.0,300.0
43,2020-02-22,4379.8,3705.3,96374.9,3924.5,50.81,49.55,361.0,300.0
44,2020-02-23,4589.8,3432.1,96455.09,3743.69,50.78,49.65,356.0,300.0
45,2020-02-24,4884.8,3335.8,96264.64,3930.3,51.02,49.79,354.0,297.0
46,2020-02-25,4964.5,3824.5,105040.93,4399.9,50.62,49.79,349.0,300.0
47,2020-02-26,5268.2,3999.9,108480.13,4553.4,50.62,49.91,345.0,300.0
48,2020-02-27,5079.2,4146.0,109436.48,4678.3,50.6,49.99,352.0,300.0
49,2020-02-28,5045.5,3171.1,94685.69,3291.8,50.95,49.54,359.0,295.0
50,2020-02-29,4994.5,3770.3,100969.22,3837.4,50.49,49.49,352.0,300.0
51,2020-03-01,4432.0,3670.7,94600.05,4114.1,50.52,49.37,354.0,300.0
52,2020-03-02,3995.3,3377.6,87384.93,3526.1,50.65,49.12,359.0,290.0
53,2020-03-03,4180.7,3009.0,83749.23,3391.9,50.56,49.69,356.0,300.0
54,2020-03-04,3942.0,3529.4,86667.27,3775.4,50.63,49.65,353.0,300.0
