osun_feeder_name,voltage
AKEJU,11kv
APOMU ,11kv
AYEPE,11kv
COTTAGE,11kv
DADA ESTATE,11kv
EDE TOWNSHIP,11kv
EDUN ABON/IPETU ,11kv
EJIGBO TOWNSHIP,11kv
FAMIA ,11kv
GBONGAN ,11kv
GBONGAN RD,11kv
GRA OSOGBO,11kv
IBADAN ROAD ,11kv
IFE ODAN,11kv
IGABAYE ROAD ,11kv
IGBONA,11kv
IKIRE ,11kv
IKIRUN ROAD,11kv
IKIRUN TOWNSHIP,11kv
ILA TOWNSHIP,11kv
ILAJE,11kv
ILESA RD/PRIME,11kv
IPETU ILE,11kv
IRETI AYO,11kv
IROGBO,11kv
ISARE,11kv
ITA OSA  ,11kv
ITAMERIN ,11kv
IWO TOWNSHIP,11kv
IWOYE IJESA,11kv
LAGERE ,11kv
MOKURO RD.,11kv
MOUNT CAMEL,11kv
NCC,11kv
OAUTHC,11kv
OBELAWO,11kv
ODEOMU RD ,11kv
ODO ORI,11kv
OKUKU TOWNSHIP ,11kv
OLU ODE,11kv
OMI ASORO/IMO,11kv
OPA,11kv
ORONA  ,11kv
PALACE,11kv
PARAKIN ,11kv
WONDERFUL,11kv
OSOGBO TOWNSHIP,33kv
PRISM,33kv
SRM,33kv
POWERLINE,33kv
OSOGBO/IKIRUN,33kv
NMT,33kv
EDE WATER WORKS,33kv
RABISH,33kv
BOWEN,33kv
IWO/EJIGBO,33kv
EFON ALAAYE/OSU,33kv
BREWERY,33kv
ILESA ,33kv
IBOKUN,33kv
IJEBU JESA,33kv
IPETU JESA,33kv
ILE IFE TOWNSHIP,33kv
IKIRE WASINMI,33kv
ORILE-OWU ,33kv
OAU,33kv
IRON & STEEL,33kv
SEKONA,33kv
